date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:49	29222/29222	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:45:44%20GMT	https://ogpau.govspace.gov.au/interim-working-group-for-australias-national-action-plan-expressions-of-interest/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/interim-working-group-for-australias-national-action-plan-expressions-of-interest/index.html	(from https://ogpau.govspace.gov.au/)
00:45:53	2067/2067	---M--	200	added ('OK')	text/css	etag:%225a6f7b-813-3ef0a663b3680%22	http://gmpg.org/xfn/default.css	/home/puzzleduck/websites/OGP/gmpg.org/xfn/default.css	(from http://gmpg.org/xfn/11)
00:45:54	43619/43619	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:45:50%20GMT	https://ogpau.govspace.gov.au/category/submissions/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/category/submissions/index.html	(from https://ogpau.govspace.gov.au/)
00:45:58	86239/86239	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:45:54%20GMT	https://ogpau.govspace.gov.au/category/consultation-stage-updates/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/category/consultation-stage-updates/index.html	(from https://ogpau.govspace.gov.au/)
00:45:58	4170/4170	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:45:54%20GMT	http://gmpg.org/xfn/.	/home/puzzleduck/websites/OGP/gmpg.org/xfn/.html	(from http://gmpg.org/xfn/11)
00:46:02	16269/16269	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:45:59%20GMT	http://gmpg.org/xfn/intro	/home/puzzleduck/websites/OGP/gmpg.org/xfn/intro.html	(from http://gmpg.org/xfn/11)
00:46:06	7342/7342	---MC-	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:46:02%20GMT	http://gmpg.org/xfn/faq	/home/puzzleduck/websites/OGP/gmpg.org/xfn/faq.html	(from http://gmpg.org/xfn/11)
00:46:08	111/111	---M-Z	200	added ('OK')	text/plain	date:Mon,%2005%20Jan%202015%2017:24:54%20GMT	http://s.w.org/robots.txt		(from https://ogpau.govspace.gov.au/)
00:46:18	2379/2379	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:15%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed7cb9.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/)
00:46:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:16%20GMT	https://ogpau.govspace.gov.au/?p=694	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/index21fd.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/)
00:46:26	2476/2476	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:46:25%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2F&format=xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed04f1	(from https://ogpau.govspace.gov.au/draft-national-action-plan/)
00:46:28	1078/1078	---M--	200	added ('OK')	application/x-javascript	etag:%2257d109e3-436%22	https://ogpau.govspace.gov.au/wp-includes/js/comment-reply.min.js	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-includes/js/comment-reply.min.js	(from https://ogpau.govspace.gov.au/draft-national-action-plan/)
00:46:29	2369/2369	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:29%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fintroduction-2%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed892c.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/introduction-2/)
00:46:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:29%20GMT	https://ogpau.govspace.gov.au/?p=699	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/index1c50.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/introduction-2/)
00:46:31	2464/2464	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:46:30%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fintroduction-2%2F&format=xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embed7e65	(from https://ogpau.govspace.gov.au/draft-national-action-plan/introduction-2/)
00:46:32	2380/2380	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:46:32%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fefforts-to-date%2F	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embedaf4f.json	(from https://ogpau.govspace.gov.au/draft-national-action-plan/efforts-to-date/)
00:46:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202016%2013:46:32%20GMT	https://ogpau.govspace.gov.au/?p=702	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/indexf167.html	(from https://ogpau.govspace.gov.au/draft-national-action-plan/efforts-to-date/)
00:46:34	2475/2475	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:46:33%20GMT	https://ogpau.govspace.gov.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fogpau.govspace.gov.au%2Fdraft-national-action-plan%2Fefforts-to-date%2F&format=xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/oembed/1.0/embedc1c6	(from https://ogpau.govspace.gov.au/draft-national-action-plan/efforts-to-date/)
